lat,lng,elat,latevents,elng,lngevents
-18.8791902,47.5079055,,,,
33.1958696,-117.3794834,,,,
35.8893874,-5.3213455,,,,
39.114053,-94.6274636,,,,
41.7637111,-72.6850932,,,,
51.173613,0.490709,,,,
40.7281575,-74.0776417,,,,
-34.6036844,-58.3815591,,,,
42.3600825,-71.0588801,,,,
55.160428,14.8668836,,,,
27.9094677,-97.1499898,,,,
49.3983782,15.5870415,,,,
51.376165,-0.098234,,,,
56.6461641,-103.2517784,,,,
49.4295387,2.0807123,,,,
51.0504088,13.7372621,,,,
35.1744271,-6.1473964,,,,
54.3150367,-130.3208187,,,,
49.732771,1.441891,,,,
40.6028144,-86.8672339,,,,
-23.9678823,-46.3288865,,,,
34.95,-118.58,,,,
31.230416,121.473701,,,,
51.0036598,3.8003144,,,,
45.7423372,-122.1900892,,,,
-39.035173,177.4180311,,,,
49.968341,-98.628957,,,,
40.463667,-3.74922,,,,
-31.2532183,146.921099,,,,
38.2719604,-96.5352854,,,,
49.1606779,7.1194138,,,,
34.1808392,-118.3089661,,,,
-22.230273,133.844949,,,,
40.9133943,-77.7783348,,,,
18.4671203,94.3411001,,,,
41.5878281,-83.4932651,,,,
49.2401572,6.9969327,,,,
41.8781136,-87.6297982,,,,
-34.4450316,147.5360981,,,,
38.5285169,-89.1316944,,,,
42.733883,25.48583,,,,
39.1031182,-84.5120196,,,,
41.8781136,-87.6297982,,,,
37.8043637,-122.2711137,,,,
44.6819866,-63.744311,,,,
-14.235004,-51.92528,,,,
39.9259463,-75.1196199,,,,
-34.1193796,18.9084618,,,,
40.7607793,-111.8910474,,,,
36.651216,117.12,,,,
46.2395793,-119.1005657,,,,
41.2455927,-89.9248303,,,,
13.7563309,100.5017651,,,,
36.753768,3.0587561,,,,
39.9242266,-83.8088171,,,,
42.13806,-88.78333,,,,
34.8416435,-118.8648189,,,,
25.7616798,-80.1917902,,,,
42.0258779,-85.8155576,,,,
38.1557502,-121.6913439,,,,
-22.9674264,-43.7056394,,,,
38.624514,-90.1506465,,,,
34.0039039,-117.0619755,,,,
40.3697905,-80.6339638,,,,
34.802075,38.996815,,,,
41.3931096,-81.5365094,,,,
41.079273,-85.1393513,,,,
45.5230622,-122.6764816,,,,
34.1808392,-118.3089661,,,,
-33.4035551,-70.5688043,,,,
33.8886106,35.4954772,,,,
48.5216364,9.0576448,,,,
31.7437272,-105.0927275,,,,
51.3495019,-0.0428513,,,,
-28.6473671,153.601977,,,,
20.9425179,-17.0362272,,,,
-13.75,-65.316667,,,,
51.335545,1.419895,,,,
